Constraint,Support,cluster
Absence2[Payment Handled] | |,1.0,-1
Absence2[Declaration SAVED by EMPLOYEE] | |,1.0,-1
Absence2[Request Payment] | |,1.0,-1
Absence2[Declaration REJECTED by BUDGET OWNER] | |,0.9987179487179488,-1
Absence2[Declaration REJECTED by PRE_APPROVER] | |,0.9935897435897436,-1
Absence2[Declaration FINAL_APPROVED by SUPERVISOR] | |,0.9884615384615384,-1
Absence2[Declaration APPROVED by PRE_APPROVER] | |,0.9871794871794872,-1
Absence2[Declaration REJECTED by SUPERVISOR] | |,0.9846153846153848,-1
Absence2[Declaration APPROVED by BUDGET OWNER] | |,0.9833333333333332,-1
Absence2[Declaration REJECTED by ADMINISTRATION] | |,0.9756410256410256,-1
Absence1[Declaration REJECTED by BUDGET OWNER] | |,0.9282051282051282,-1
Absence2[Declaration REJECTED by EMPLOYEE] | |,0.9128205128205128,-1
Absence1[Declaration REJECTED by PRE_APPROVER] | |,0.8961538461538462,-1
Absence1[Declaration APPROVED by PRE_APPROVER] | |,0.8935897435897436,-1
Absence1[Declaration APPROVED by BUDGET OWNER] | |,0.8538461538461538,-1
"Choice[Declaration SUBMITTED by EMPLOYEE, Payment Handled] | |",0.8282051282051283,-1
"Choice[Payment Handled, Declaration SUBMITTED by EMPLOYEE] | |",0.8282051282051283,-1
"Choice[Declaration SUBMITTED by EMPLOYEE, Request Payment] | |",0.8282051282051283,-1
"Choice[Request Payment, Declaration SUBMITTED by EMPLOYEE] | |",0.8282051282051283,-1
"Choice[Declaration SUBMITTED by EMPLOYEE, Declaration FINAL_APPROVED by SUPERVISOR] | |",0.8269230769230769,-1
"Not Precedence[Request Payment, Declaration SUBMITTED by EMPLOYEE] | |",0.8269230769230769,-1
"Choice[Declaration FINAL_APPROVED by SUPERVISOR, Declaration SUBMITTED by EMPLOYEE] | |",0.8269230769230769,-1
"Not Chain Precedence[Payment Handled, Declaration SUBMITTED by EMPLOYEE] | |",0.8269230769230769,-1
"Not Chain Precedence[Declaration FINAL_APPROVED by SUPERVISOR, Declaration SUBMITTED by EMPLOYEE] | |",0.8269230769230769,-1
"Not Chain Response[Declaration SUBMITTED by EMPLOYEE, Payment Handled] | |",0.8269230769230769,-1
"Not Precedence[Payment Handled, Declaration SUBMITTED by EMPLOYEE] | |",0.8269230769230769,-1
Absence1[Declaration SAVED by EMPLOYEE] | |,0.8269230769230769,-1
